,Classifier,Accuracy
0,Graph Distance,0.008594229588704727
1,"Rooted page rank, alpha: 0.01",0.041282995702885204
2,"Rooted page rank, alpha: 0.05",0.041743400859422956
3,"Rooted page rank, alpha: 0.15",0.042203806015960715
4,"Rooted page rank, alpha: 0.3",0.04189686924493554
5,"Rooted page rank, alpha: 0.5",0.042203806015960715
6,Simrank,0.0024554941682013503
