,Classifier,Accuracy
0,Graph Distance,0.0084141312827371
1,Simrank,0.0004457817898138861
2,"Rooted page rank, alpha: 0.01",0.03560682046138415
3,"Rooted page rank, alpha: 0.05",0.03516103867157026
4,"Rooted page rank, alpha: 0.15",0.034269475091942496
5,"Rooted page rank, alpha: 0.3",0.033099297893681046
6,"Rooted page rank, alpha: 0.5",0.03170622980051265
