,0
84,GMEMOASS
85,Gamestopstock
86,GMEmoons
87,GaMEstopMammothThread
88,GMEtruth
89,wallstreetsblackhole
90,Wekeepyourunning
91,Toxic_Femininity
92,TransSpace
93,MOASS
94,GMEbagholdersclub
95,GMEplanB
96,amcgmeUnitedfuckHedgi
97,xkey
98,mississippi
99,ChickFilA
100,ChickFilAWorkers
337,666sev
